model,MAE,RMSE,SMAPE
Ensemble XGB + RF,5133.683994507088,7203.369457082754,19.97294276667767
Tuned XGBoost,5235.799493319745,7270.484061767093,20.25598308522541
Random Forest,5171.217946735477,7260.05722179909,20.343453007262273
Original XGBoost,5213.747705376665,7207.323228483049,26.383720862772698
Moving Average Baseline,9817.898571428572,12549.801714065601,53.12699087067346
Naive Baseline,11003.23,13091.293326832401,61.45335151587704
Prophet,13196.277969131286,16941.37642798565,83.19125542132869
LSTM,17745.068359375,20579.037878384886,123.50277709960938
