model,accuracy,precision,recall,f1_score,roc_auc
Blended XGBoost + RF + CatBoost,0.7235023041474654,0.5534188034188035,0.8931034482758621,0.683377308707124,0.8264586564849064
Hyperparameter + Threshold Tuned XGBoost,0.7246543778801844,0.5555555555555556,0.8793103448275862,0.6809078771695594,0.8221751580956926
Threshold-Tuned XGBoost,0.7269585253456221,0.5587583148558758,0.8689655172413793,0.680161943319838,0.8262200214771507
Random Forest,0.7396313364055299,0.626984126984127,0.5448275862068965,0.5830258302583026,0.8256771268345067
XGBoost Default,0.7453917050691244,0.6455696202531646,0.5275862068965518,0.5806451612903226,0.8262200214771507
